Country,Year,Access to Electricity(%),Food Production Index,Population Density,Unemployed Labour(%),"Road Accident Mortality(per 100,000 people)",Electric power consumption(kWh/Capita),GDP Deflator,GDP/Capita($),Literacy Rate Adult,Immunization(Measles %),Immunization(DPT %),Life Expectancy at Birth,Total greenhouse gas emissions (kt of CO2 equivalent),Rural Population(%)
Sub-Saharan Africa (IDA & IBRD countries),2013,38.08630604,0.195174282,39.53559156,5.710783267,26.48125556,492.3620841,3.700565894,1842.87605,62.30361176,69.48583938,69.68264966,58.80138624,2178000,62.44894312
Sub-Saharan Africa (IDA & IBRD countries),2014,37.94826919,0.205182428,40.62225765,5.775527428,26.71079133,487.3282404,2.615907839,1863.63405,62.95409012,68.8730542,70.80884863,59.40479692,2227230,61.93094245
Sub-Saharan Africa (excluding high income),2000,26.01955275,5.615945126,28.04310282,6.589539102,29.93542481,514.1689874,8.796301657,602.0608812,55.90880966,52.2685023,51.35174103,50.44749089,1501430,68.64867782
Sub-Saharan Africa (excluding high income),2001,28.11120558,6.22234337,28.78621693,6.575162264,29.54435775,492.9093135,6.029315735,560.0498316,56.89545059,52.436816,51.53593109,50.74734771,1551710,68.22191619
Sub-Saharan Africa (excluding high income),2002,29.01862357,6.386140148,29.5495352,6.725890757,29.77037349,513.7600429,3.554213255,594.7787806,57.39414978,53.70773259,53.057906,51.14578302,1615710,67.78186724
Sub-Saharan Africa (excluding high income),2003,31.19007147,7.021545453,30.33575417,6.629646471,29.69847839,512.8661267,5.623192609,725.7748533,57.84003067,56.23944153,56.01022582,51.63989373,1684980,67.3369935
Sub-Saharan Africa (excluding high income),2004,30.79261701,6.921136578,30.97915294,6.326174602,29.2491726,520.8081821,7.765278535,878.9855694,59.44001007,58.31251939,59.22455841,52.22249096,1738650,66.88635225
Sub-Saharan Africa (excluding high income),2005,29.40297589,7.187953524,31.81512942,6.197571227,28.87224591,525.1737159,7.501710131,1016.742791,58.45846939,60.11200541,62.38062569,52.88432687,1804690,66.42271982
Sub-Saharan Africa (excluding high income),2006,32.3632961,7.284932591,32.68050325,6.004441577,28.65384956,530.0320993,9.134885392,1174.999984,59.70100021,62.82424575,64.39521922,53.61219037,1810260,65.96255501
Sub-Saharan Africa (excluding high income),2007,34.165869,7.21918929,33.57529426,5.760954463,27.86231443,539.6807214,6.796332103,1327.43134,57.21604919,65.06932946,66.73948644,54.38344059,1882390,65.54379155
Sub-Saharan Africa (excluding high income),2008,34.04442703,7.283628391,34.4991548,5.429357381,27.49399118,516.2286617,10.64024482,1482.543208,57.30437851,67.24445023,69.17495761,55.17255555,1953280,65.03627245
Sub-Saharan Africa (excluding high income),2009,33.26780917,7.441903686,35.4512694,5.619213715,27.63552151,493.503632,3.24958444,1374.668519,58.10976028,71.94172923,72.64156871,55.95935047,1928030,64.52376848
Sub-Saharan Africa (excluding high income),2010,33.6628424,7.14466826,36.4299146,5.979664584,27.53738296,508.1928342,5.997684604,1593.498508,58.66814041,72.26427513,71.11755109,56.72376828,2025370,64.00340825
