Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Ireland,71230,73480,72740,73030,72260,73470,74450,72820,71770,66400,65040,60650,62310,61380,61540
"Iran, Islamic Rep.",466760,483520,508200,537500,574430,613270,661390,699780,713330,737580,743550,750700,761050,781950,794190
Iraq,90630,102140,97860,86970,90980,105140,101370,95530,105020,128300,141410,153590,175600,186900,193680
Iceland,3420,3300,3350,3320,3400,3360,3830,3840,3730,3390,3260,3070,3060,3220,3290
Israel,73610,73510,75520,76350,77440,76100,80420,83610,84290,83870,89320,89590,96710,88550,87150
Italy,522470,520660,528940,547470,558590,559870,547470,540720,525850,476970,485460,474590,456710,424930,405240
Jamaica,11780,11810,11980,12410,12320,12280,13480,13400,11000,9260,8860,9010,8570,9050,8890
Jordan,20900,21030,21840,22430,23930,25440,26180,27630,26890,27570,27430,28550,32120,32420,34680
Japan,1274300,1251440,1283110,1290880,1282760,1283820,1261900,1297980,1231180,1171570,1228240,1284770,1327040,1338630,1300990
Kazakhstan,148040,148590,165640,176830,193870,206300,227660,235720,282130,251220,277300,294130,294140,307440,258090
Kenya,39680,39200,40100,41070,43690,44060,44530,61330,62660,63080,64700,67080,66430,68440,71370
Kyrgyz Republic,9660,9070,10030,10670,10820,10500,10610,11860,13030,12660,12330,13750,16340,15870,16410
Cambodia,20450,20540,21070,22650,22600,24070,25640,26740,27310,28710,29060,30580,30310,30600,31550
Kiribati,50,50,60,70,80,90,100,80,90,80,80,80,80,90,90
St. Kitts and Nevis,280,300,320,320,330,320,330,350,350,810,350,370,450,330,340
"Korea, Rep.",511790,528550,521370,529250,553340,548760,557070,565860,579950,593600,646420,670790,675290,675000,664250
Kuwait,53600,57500,60450,63030,67170,75260,78270,77930,82730,85480,89240,93590,97460,100560,100320
Latin America & Caribbean (excluding high income),2067420,2100010,2134710,2200060,2277910,2325060,2371870,2451660,2502860,2469210,2582820,2638940,2681340,2727860,2768670
Lao PDR,8070,8400,8690,8910,9350,9290,9660,10180,10570,11410,12360,12120,13110,13810,14480
Lebanon,18770,20090,20070,20750,21300,20730,19800,18780,22530,25970,25060,25760,28360,28350,30310
Liberia,3380,3490,3570,3710,3880,4070,4280,4420,4500,4900,5060,5820,6560,7130,8110
Libya,111300,115370,120150,123420,127320,133590,134750,132520,138420,141570,145810,115160,117930,109150,102270
